-1.1 -1.55 -0.52 -0.69 0.35
0.05 -0.39 1.46 -0.34 -0.09
-1.2 1.76 0.43 0.74 -0.85
0.19 -0.42 -1.03 -0.29 0.28
1.3 -1.17 -1.31 -1.67 -0.29
-1.03 0.04 0.23 -0.26 -1.85
-0.74 1.25 -0.31 -1.7 -0.96
0.05 -1.58 -0.08 -0.53 -1.69
-1.02 -0.25 -0.17 -0.64 0.93
-0.38 0.47 0.66 3.17 1.51
0.87 1.98 -1.07 0.49 2.35
0.97 -0.62 3.47 0.44 2.14
0.38 1.52 0.29 0.2 -0.75
-1.85 -0.43 -0.54 -0.53 -1.25
-0.05 -1.03 -0.14 -2.68 -0.62
1.06 -1.13 0.54 1.81 1.27
0.81 -0.22 0.63 -0.52 -0.99
-0.19 -0.02 -1.77 -0.86 -0.71
-2.7 -0.32 -2.07 -0.63 -0.75
0.06 1.05 -0.09 1.07 -0.28
0.57 0.19 0.84 0.75 0.66
0.05 -0.11 0.17 1.32 -1.51
0.16 -0.6 1.03 0.28 -0.02
0.43 -1.3 0.4 -0.12 -1.75
-0.4 -1.96 0.41 -0.25 1.04
1.31 0.21 1.68 -1.56 0.86
0.47 0.03 -1.06 0.26 0.27
-1.24 1.37 -0.79 -0.34 -0.23
1.38 0.29 0.39 -0.38 1.02
1.2 0.8 0.25 1.05 0.62
0.82 0.04 -2.19 1.21 -1.17
-1.66 -0.82 0.54 2.45 2.52
-0.57 0.29 -1.29 0.46 -0.63
0.64 0.34 -1.23 -0.09 -1.02
0.04 -0.82 1.73 -0.91 0.44
0.35 -0.03 1.16 -0.03 0.27
2.46 2 -0.75 1.72 0.15
-0.82 -1.13 1.67 -0.24 -1.43
-2.11 1.47 -0.53 1.71 0.09
0.27 -0.23 1.03 -0.22 0.39
-0.69 1.48 1.38 0.21 2.24
0.45 -0.84 1.33 2.48 -0.78
-0.81 -0.07 1.25 0.03 0.74
2.21 0.31 -0.29 -1.45 -0.86
-0.12 -0.11 -0.55 -0.67 0.3
-0.48 0.66 1.25 -1.06 -0.96
-0.17 -0.17 -0.07 0.09 -2
0.86 1.21 -0.68 -0.57 -2.31
0.1 0.17 -1.02 0.38 0.87
-1.63 0.69 1.3 1.62 0.08
0 -1.19 0.76 -0.98 0.39
0.76 -0.66 1.48 -1.01 -2.06
0.04 1.09 -0.62 -0.26 -0.15
0.74 0.51 0.26 0.88 0.1
-0.15 -0.14 -1.09 0.38 1.65
-0.06 -0.11 0.09 0.1 -0.7
0.48 0.75 -0.85 1.57 0.8
0.99 -0.22 0.39 -0.27 -0.03
-1.25 0.07 -0.04 1.85 0.93
-0.03 -1.65 1.45 -1.51 0.17
-0.07 1.77 0.32 0.28 0.16
-0.76 0.77 -0.4 0.9 -0.17
-1.03 0.83 -1.74 1.14 0.09
-0.63 -1.91 -0.45 -1.45 0.09
0.59 -0.02 -0.59 -0.63 -0.17
-0.42 -0.41 1.15 -1.93 -0.15
-0.78 -1.38 0.46 -0.24 0.85
0.16 0.73 -0.59 -0.5 -0.19
