1.37 2.33 0.25 -0.69 -0.14
-0.56 0.52 -0.28 -0.79 -0.81
0.36 0.97 -1.72 -0.41 -0.33
0.63 0.38 -2.01 -1.15 0.38
0.4 -1 -1.29 1.12 -1.99
-0.11 -0.6 0.37 -0.88 -1
1.51 0.17 -0.15 1.28 0.28
-0.09 -2.93 -0.73 -1.45 -1.1
2.02 -0.85 -0.78 0.84 0.98
-0.06 0.8 0.55 -0.6 -1.02
1.3 -0.3 -1.61 0.13 -0.86
2.29 -0.28 0.75 0.76 -0.23
-1.39 0.87 0.45 -0.92 -0.27
-0.28 -0.54 -0.87 0.24 -0.25
-0.13 0.63 -0.1 -0.04 0.42
0.64 -1.42 0.89 -1.12 0.57
-0.28 -1.23 1.35 0.58 -1.82
-2.66 -1.67 1.49 -2.3 0.95
-2.44 0.08 0.37 1.54 1.34
1.32 -0.21 -0.21 1.2 -0.75
-0.31 1.44 0.46 -0.2 -1.89
-1.78 -0.04 -0.26 -0.43 -1.64
-0.17 1.35 -1 0.35 -1.91
1.21 1.95 0.84 -0.49 0.31
1.9 -0.49 0.69 -0.2 0.63
-0.43 0.39 1.26 0.23 1.47
-0.26 -0.84 1.67 -0.09 0.32
-1.76 0.74 1.47 1.71 0.92
0.46 -1.08 0.79 -0.34 -0.56
-0.64 -1.03 -0.04 -0.88 -0.99
0.46 0.29 -0.09 -1.13 0.27
0.7 0.09 -0.41 -0.57 0.34
1.04 0.26 -0.78 -0.97 -2.07
-0.61 0.07 -0.39 0.95 0.94
0.5 -0.53 0.61 0.25 -0.61
-1.72 -0.13 0.38 -0.1 -0.11
-0.78 1.62 -1.21 0.03 -1.01
-0.85 -0.02 1.2 -0.91 0.64
-2.41 -1.32 1.29 2.35 -0.37
0.04 -0.84 1.48 0.81 -1.42
0.21 -1.1 -1.22 0.78 0.29
-0.36 -0.9 -0.41 0.17 -1.65
0.76 -1.26 -0.41 0.16 -0.19
-0.73 -2.63 -0.45 0.68 0.02
-1.37 0.67 -0.56 0.43 2.7
0.43 0.66 -0.56 0.78 0.51
-0.81 -0.25 -0.97 -0.44 -1.27
1.44 -0.72 -0.56 1.27 0.38
-0.43 -0.81 -0.33 -1.47 -0.1
0.66 0.4 0.19 1.83 0.22
0.32 0.23 0.61 -0.08 -1.62
-0.78 0.42 0.96 0.21 1.68
1.58 0 -0.8 -0.06 0.56
0.64 0.62 0.04 -0.84 -0.38
0.09 0.43 2.34 -0.47 -2.03
0.28 0.56 -0.46 1.52 0.4
0.68 0.5 0.74 2.07 -1.4
0.09 1.66 -0.7 -1.06 -1.18
-2.99 -1.06 1.07 0.36 0.54
0.28 1.51 0.55 -0.54 0.73
-0.37 -0.33 -0.92 0.09 -0.38
0.19 -0.06 1.03 0.35 -1.64
0.58 0.08 1.13 -0.52 -2.35
1.4 -0.45 0.88 0.29 -1.4
-0.73 -2.55 -2.77 1.67 -0.7
1.3 -0.31 0.14 -1.08 -0.97
0.34 0.04 1.52 -0.4 0.32
1.04 -1.74 -0.17 0.3 -0.82
0.92 0.55 -0.66 0.37 0.47
0.72 -0.6 -0.15 0.07 1.2
-1.04 1.45 -2.38 0.35 -0.45
-0.09 0.26 -1.14 -0.16 -1.35
0.62 -0.79 -0.09 0.19 -1.19
-0.95 0.17 0.84 -0.07 0.76
-0.54 0.26 0.21 0.92 -1.56
0.58 0.91 0.64 0.71 1.6
0.77 -0.16 -1.03 -0.02 0.28
0.46 -2.03 1.49 1.31 0.96
-0.89 -1.3 1.19 0.17 -0.74
-1.1 -0.86 0.62 0.58 -0.64
1.51 0.43 -0.17 0.23 0.45
0.26 -0.28 0.86 -0.61 -0.19
0.09 -0.61 -0.62 0.73 0.59
-0.12 -0.84 -0.88 -1.85 -0.19
-1.19 0.15 -2.23 -0.97 -0.18
0.61 -0.85 0.19 0.63 1.76
-0.22 -0.4 -2.31 1.24 0.49
-0.18 -0.94 -0.02 -1.51 -2.33
0.93 -1.39 0.44 1.18 0.72
0.82 0.96 0.79 -1.33 -0.68
1.39 -1.32 1.02 -0.6 0.04
-0.48 0.07 0.62 -1.33 1.35
0.65 -0.57 -0.86 -0.18 1.69
1.39 -1.06 0.89 0.05 -1.98
-1.11 0.26 0.06 0.41 -1.53
-0.86 0.37 -1.86 -0.42 0.44
-1.13 1.26 -0.11 -0.02 -0.64
-1.46 0.33 -1.78 0.3 -0.48
0.08 -0.14 -1.05 -0.97 1.23
